Odisha,Cuttack,Badamba,Badamba,arrived,7/1/2025,51.1875,85.34243695,20.43119989
Odisha,Cuttack,Narasinghpur,Narasinghpur,arrived,7/1/2025,41.0625,85.08536349,20.50633449
Odisha,Cuttack,Tigiria,Tigiria,arrived,7/1/2025,20,85.50689979,20.46717636
Odisha,Cuttack,Mahanga,Mahanga,arrived,7/2/2025,68.375,86.18745512,20.57237784
Odisha,Cuttack,Cuttack Sadar,Cuttack Sadar,arrived,7/2/2025,60.125,85.94117302,20.42792233
Odisha,Cuttack,Kantapada,Kantapada,arrived,7/2/2025,27.1875,86.0121715,20.27293745
Odisha,Cuttack,Barang,Barang,arrived,7/2/2025,27.1875,85.95384274,20.32602999
Odisha,Cuttack,Baranag,Baranag,arrived,7/2/2025,87.25,85.7997724,20.44338243
Odisha,Cuttack,Tangi-Choudwar,Tangi-Choudwar,arrived,7/2/2025,60.125,85.93763419,20.58872392
Odisha,Cuttack,Nischintakoili,Nischintakoili,arrived,7/2/2025,68.375,86.1931887,20.43650166
Odisha,Cuttack,Banki,Banki,arrived,7/2/2025,39,85.47080955,20.36181733
Odisha,Cuttack,Athagad,Athagad,arrived,7/2/2025,87.25,85.72557207,20.54548883
Odisha,Cuttack,Banki-Dampara,Banki-Dampara,arrived,7/2/2025,39,85.61114407,20.3704411
Odisha,Cuttack,Salipur,Salipur,arrived,7/2/2025,60.125,86.05805437,20.49149079
Odisha,Cuttack,Niali,Niali,arrived,7/2/2025,27.1875,86.10401959,20.14669079
Odisha,Koraput,Borigumma,Borigumma,arrived,7/1/2025,25,82.61,19.094
Odisha,Koraput,Jeypore,Jeypore,arrived,7/1/2025,25,82.552,18.913
Odisha,Koraput,Kundra,Kundra,arrived,7/1/2025,25,82.374,18.908
Odisha,Koraput,Kotpad,Kotpad,arrived,7/1/2025,25,82.338,19.077
Odisha,Koraput,Boipariguda,Boipariguda,arrived,7/1/2025,25,82.322,18.735
Odisha,Koraput,Bandhugaon,Bandhugaon,arrived,7/1/2025,25,83.294,18.942
Odisha,Koraput,Narayanpatna,Narayanpatna,arrived,7/1/2025,25,83.124,18.838
Odisha,Koraput,Lakshmipur,Lakshmipur,arrived,7/1/2025,25,83.066,18.989
Odisha,Koraput,Pottangi,Pottangi,arrived,7/1/2025,25,82.969,18.5
Odisha,Koraput,Koraput,Koraput,arrived,7/1/2025,25,82.962,18.76
Odisha,Koraput,Koraput,Koraput,arrived,7/1/2025,25,82.962,18.76
Odisha,Koraput,Similiguda,Similiguda,arrived,7/1/2025,25,82.871,18.653
Odisha,Koraput,Dasamantapur,Dasamantapur,arrived,7/1/2025,25,82.862,19.005
Odisha,Koraput,Nandapur,Nandapur,arrived,7/1/2025,25,82.81,18.563
Odisha,Koraput,Nandapur,Nandapur,arrived,7/1/2025,25,82.81,18.563
Odisha,Koraput,Lamptaput,Lamptaput,arrived,7/1/2025,25,82.576,18.611
